Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Mahanagar Gas,539957,MGL,INE002S01010,Gas,LPG/CNG/PNG/LNG Supplier,1073.4,43.69,10602.83,8530.54,1293.34,15.16,17.61,14.74,1.67,-10.84,8.79,0.03,12.32,-1159.69,117.64,458.36,475.62,62.5,9.08,1.52,-0.92,0.22,2.79,22.1
Marksans Pharma,524404,MARKSANS,INE750C01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,322.95,66.96,14634.85,3171.75,713.72,22.5,20.36,28.33,4.92,1.77,11.8,0.11,15.17,2195.65,102.28,644.57,336.91,972.28,5.01,-0.38,0.71,0.48,0.27,6.58
Motil.Oswal.Fin.,532892,MOTILALOFS,INE338I01027,Capital Markets,Stockbroking & Allied,1039.9,74.63,62635.6,10062.73,4119.71,40.94,41.33,31.62,4.84,1.22,4.82,1.65,15.53,9693.95,41.78,4058.11,5576.71,0.0,5.76,0.76,-0.17,5.25,0.58,5.21
Mphasis,526299,MPHASIS,INE356A01018,IT - Software,Computers - Software & Consulting,2420.0,54.3,46192.18,16531.21,3070.5,18.57,18.75,23.86,4.27,4.67,11.67,0.24,18.53,936.37,292.65,4192.72,1356.79,0.0,5.93,-0.34,-0.01,0.93,2.58,20.32
MRF,500290,MRF,INE883A01011,Auto Components,Tyres & Rubber Products,134200.65,47.45,56916.45,31888.87,4821.17,15.12,15.76,23.14,2.72,0.44,8.03,0.15,12.51,2753.38,505.68,3541.58,3210.76,5416.82,6.34,-0.14,-0.55,0.89,0.18,17.97
Muthoot Finance,533398,MUTHOOTFIN,INE414G01012,Finance,Non Banking Financial Company (NBFC),2990.0,55.99,120039.11,33430.7,27589.58,82.53,81.52,10.61,3.01,0.25,6.46,4.02,30.92,12297.56,95.44,11.9,153.78,0.0,10.11,0.32,-0.7,5.93,1.0,27.94
Natco Pharma,524816,NATCOPHARM,INE987B01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,844.8,33.08,15131.18,3484.6,1052.0,30.19,35.22,13.21,1.67,0.5,14.4,0.08,16.86,3371.4,295.1,881.2,409.3,908.5,7.96,0.17,-0.38,0.62,0.59,31.14
Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals,Aluminium,380.5,56.61,69883.93,19338.49,9153.04,47.33,44.43,10.31,3.27,0.17,23.46,0.0,29.42,8103.15,721.11,214.68,797.28,1834.9,14.22,0.47,-0.28,0.01,2.97,14.52
NLC India,513683,NLCINDIA,INE589A01014,Power,Power Generation,268.7,35.89,37258.94,18380.67,5990.01,32.59,31.95,11.58,1.74,0.74,6.12,1.3,17.5,-2119.02,1753.16,3337.69,1349.78,2281.28,8.11,-1.03,1.01,5.32,1.34,30.71
NMDC,526371,NMDC,INE584A01023,Minerals & Mining,Industrial Minerals,86.5,55.5,76049.23,32127.28,9249.46,28.79,28.87,10.19,2.22,0.61,16.68,0.19,23.37,17305.35,1534.81,9206.19,406.24,2522.32,14.47,0.04,-0.01,0.62,2.92,11.27
NTPC,532555,NTPC,INE733E01010,Power,Power Generation,327.7,33.51,317759.79,191058.77,52121.4,27.28,29.58,11.35,1.57,0.57,5.5,1.33,15.09,-19821.91,7938.01,36616.27,11787.1,19051.05,6.82,0.31,-0.24,6.81,2.72,20.92
Nuvama Wealth,543988,NUVAMA,INE531F01023,Capital Markets,Stockbroking & Allied,1743.4,57.74,32116.58,4884.26,2553.42,52.28,52.72,29.59,7.71,0.58,3.31,2.8,27.36,7408.3,38.08,997.29,2331.08,0.0,10.85,0.19,2.06,4.66,1.55,15.66
O N G C,500312,ONGC,INE213A01029,Oil,Oil Exploration & Production,232.0,32.58,291862.49,704122.81,92694.2,13.16,16.94,6.69,0.8,9.56,6.51,0.47,11.65,-28969.67,16457.9,22014.47,46933.08,66119.16,16.49,0.01,0.04,2.43,5.67,24.55
