Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
M & M Fin. Serv.,532720,M&MFIN,INE774D01024,Finance,Non Banking Financial Company (NBFC),285.15,31.12,39635.03,20352.27,12459.99,61.22,63.11,16.03,1.6,0.61,1.69,4.9,10.9,4769.58,8.26,235.4,1000.26,0.0,7.91,0.05,-0.48,9.92,30.84
Manappuram Fin.,531213,MANAPPURAM,INE522D01027,Finance,Non Banking Financial Company (NBFC),255.8,41.53,21651.8,9215.57,4292.86,46.58,54.36,53.05,1.7,-18.29,2.51,3.02,10.14,2814.48,12.73,0.0,121.22,0.0,6.97,3.87,-6.95,9.57,20.46
Motil.Oswal.Fin.,532892,MOTILALOFS,INE338I01027,Capital Markets,Stockbroking & Allied,684.95,47.55,41224.41,7888.06,3944.62,50.01,54.51,20.35,3.2,0.85,7.64,1.22,25.25,3947.62,44.67,1706.74,15.89,0.0,7.9,0.58,-0.59,4.05,37.57
Mphasis,526299,MPHASIS,INE356A01018,IT - Software,Computers - Software & Consulting,2209.9,49.8,42169.06,15347.02,2877.22,18.75,18.6,23.1,4.38,4.08,11.68,0.21,18.22,1207.13,242.45,3123.18,1188.68,0.0,6.15,8.18,1.27,0.76,27.24
MRF,500290,MRF,INE883A01011,Auto Components,Tyres & Rubber Products,126390.0,36.02,53603.81,30179.66,4675.01,15.49,14.54,23.43,2.76,0.47,6.62,0.19,10.62,5212.88,394.69,3551.67,2742.24,5377.21,6.01,0.12,-0.09,1.07,22.74
Muthoot Finance,533398,MUTHOOTFIN,INE414G01012,Finance,Non Banking Financial Company (NBFC),3178.8,42.46,127618.8,27542.27,21589.03,78.39,72.88,14.64,3.58,1.48,4.67,3.93,19.58,7869.95,167.49,11.7,146.54,0.0,8.42,-0.24,0.17,6.47,23.39
Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals,Aluminium,401.8,60.01,73795.87,18098.06,8316.55,45.95,44.72,12.02,3.72,0.56,25.01,0.0,32.72,7167.52,594.65,27.54,782.74,2021.79,12.51,-3.1,3.45,0.01,6.9
Nava,513023,NAVA,INE725A01030,Power,Power Generation,560.1,50.31,15850.9,4166.27,1727.84,41.47,46.07,17.71,1.96,0.73,13.7,0.2,15.03,3931.02,171.84,943.89,128.62,687.52,9.65,-0.08,-0.02,1.06,23.83
NMDC,526371,NMDC,INE584A01023,Minerals & Mining,Industrial Minerals,78.08,47.95,68646.51,27732.35,8667.11,31.25,34.09,9.95,2.11,-0.87,17.01,0.11,23.6,15590.67,1547.93,7800.24,394.6,2649.56,15.79,-0.32,0.44,0.37,10.09
NTPC,532555,NTPC,INE733E01010,Power,Power Generation,359.65,39.16,348740.6,187530.56,54719.32,29.18,28.91,14.42,1.82,1.71,4.26,1.33,12.13,-13789.34,11890.68,31750.32,10231.93,16854.12,7.97,0.26,-0.16,5.37,8.83
Nuvama Wealth,543988,NUVAMA,INE531F01023,Capital Markets,Stockbroking & Allied,1142.6,39.88,20800.06,4481.36,2386.94,53.26,53.34,20.25,5.48,0.39,4.04,2.37,30.87,5745.99,21.81,836.94,1909.55,0.0,14.61,0.78,0.09,3.9,32.87
Oberoi Realty,533273,OBEROIRLTY,INE093I01010,Realty,"Residential, Commercial Projects",1506.9,53.69,54791.22,5409.37,3015.96,55.75,58.7,24.3,3.27,0.87,10.23,0.18,14.67,12364.24,289.4,244.39,517.78,9606.36,5.7,-0.39,0.52,0.94,24.89
Oil India,533106,OIL,INE274J01014,Oil,Oil Exploration & Production,480.15,53.36,78101.57,33461.2,9529.03,28.48,35.19,13.4,1.39,2.39,7.08,0.64,13.26,7670.0,2739.85,3610.81,1925.03,4722.94,9.29,0.23,-0.02,3.69,8.39
Oracle Fin.Serv.,532466,OFSS,INE881D01027,IT - Software,Software Products,6992.5,55.91,60859.32,7323.2,3185.8,43.5,44.93,24.93,8.26,3.12,24.01,0.0,29.34,5830.6,281.2,1431.4,68.7,0.0,6.07,0.37,-0.3,0.01,29.72
PCBL Chemical,506590,PCBL,INE602A01031,Chemicals & Petrochemicals,Carbon Black,258.93,47.41,10187.93,8210.73,1097.52,13.37,15.91,39.12,2.63,35.56,3.76,1.36,12.46,-501.6,32.85,1756.89,1672.04,1071.59,5.18,-0.57,-0.4,6.7,41.6
