Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Cyient,532175,CYIENT,IT - Services,IT Enabled Services,1105.00,37.87,12276.79,7328.40,1018.90,13.90,15.47,21.77,2.21,3.98,8.87,0.08,12.81,2894.00,164.80,1171.20,404.10,596.80,7.86,2.79,-3.81,0.49,40.29
Deepak Fertilis.,500645,DEEPAKFERT,Chemicals & Petrochemicals,Commodity Chemicals,1236.30,38.97,15606.78,10910.95,1942.77,17.81,18.73,15.86,2.40,1.43,7.47,0.68,15.56,1643.01,112.96,1713.47,2332.01,1740.03,8.27,0.34,-0.31,2.71,30.49
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals & Biotechnology,Pharmaceuticals,1268.60,51.53,105881.21,34310.00,8454.40,24.64,26.18,18.34,2.94,0.48,12.95,0.16,17.96,12851.70,1302.70,9775.40,3532.30,7582.20,7.16,1.26,-0.64,0.75,9.77
Elecon Engg.Co,505700,ELECON,Electrical Equipment,Heavy Electrical Equipment,475.85,39.15,10678.07,2395.16,593.85,24.79,24.38,23.77,4.76,0.57,17.05,0.11,22.96,1254.48,163.56,511.07,210.45,272.19,5.57,0.33,-1.30,0.44,33.59
Engineers India,532178,ENGINERSIN,Construction,Civil Construction,201.21,54.65,11308.85,3566.47,590.69,16.56,16.66,21.04,4.18,0.34,11.39,0.01,23.17,460.76,147.65,499.99,586.19,0.64,6.92,-0.56,-0.13,0.03,21.23
Finolex Cables,500144,FINCABLES,Industrial Products,Cables - Electricals,742.20,41.40,11351.16,5548.00,569.28,10.26,9.69,18.87,2.36,1.81,11.25,0.00,12.39,3425.83,263.43,228.66,268.30,794.03,6.90,0.31,-0.77,0.03,38.30
Five-Star Bus.Fi,543663,FIVESTAR,Finance,Non Banking Financial Company (NBFC),541.60,34.28,15951.94,3065.77,2198.93,71.73,74.26,14.43,2.34,0.43,8.22,1.23,18.65,2095.00,22.74,0.00,29.12,0.00,9.89,2.68,-2.33,3.83,36.32
Gallantt Ispat L,532726,GALLANTT,Industrial Products,Iron & Steel Products,529.20,36.63,12768.59,4331.00,760.61,17.56,16.18,25.92,4.11,0.82,11.96,0.21,15.11,1105.58,32.43,132.12,0.00,470.11,5.08,0.06,0.14,0.98,34.04
GE Shipping Co,500620,GESHIP,Transport Services,Shipping,1102.60,51.04,15741.51,4903.16,2483.47,50.65,50.30,8.82,1.03,0.19,10.90,0.08,14.09,8111.23,689.51,429.16,297.08,267.73,17.95,0.73,0.24,0.60,6.61
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals & Biotechnology,Pharmaceuticals,2009.70,59.64,56713.90,15955.06,4101.31,25.71,17.65,22.56,5.92,3.61,8.69,0.13,15.79,4493.72,-1811.28,3773.12,2951.33,3280.72,6.97,0.97,0.11,0.32,12.09
