Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
High Energy Bat.,504176,,Household Products,830.35,744.32,81.00,18.53,22.88,22.88,45.95,7.47,1.94,13.77,0.11,17.30,72.91,4.54,4.26
Home First Finan,543259,HOMEFIRST,Finance,1387.30,14251.64,1539.08,1235.66,80.29,80.29,37.30,4.96,1.01,3.51,3.79,16.46,1019.31,0.13,0.90
Iconik Sports,511260,,Finance,34.51,116.79,12.71,3.48,27.38,27.38,44.92,1.83,0.22,9.49,0.00,15.03,6.37,0.00,0.00
India Glycols,500201,INDIAGLYCO,Beverages,2050.50,6348.81,3768.26,510.94,13.56,13.56,27.49,2.81,2.26,3.92,0.84,10.72,279.64,60.95,0.41
Indosolar,533257,WAAREEINDO,Electrical Equipment,221.18,920.23,323.91,95.05,29.34,29.34,16.80,22.77,0.31,28.03,1.24,420.74,-14.88,0.84,0.00
Jenburkt Pharma,524731,,Pharmaceuticals & Biotechnology,1317.65,581.52,151.69,40.39,26.63,26.63,18.48,3.39,1.14,17.51,0.02,19.87,40.11,6.72,4.17
Karur Vysya Bank,590003,KARURVYSYA,Banks,249.82,20101.75,9678.04,6179.30,63.85,63.85,10.35,1.69,0.20,1.73,8.66,17.68,0.00,1829.55,1.47
Kolte Patil Dev.,532924,KOLTEPATIL,Realty,459.00,3485.95,1717.38,175.88,10.24,10.24,32.71,4.20,4.06,2.13,1.37,13.63,1233.68,51.47,3.43
Laxmipati Engg,537669,,Industrial Manufacturing,247.80,142.49,50.07,10.07,20.11,20.11,21.92,16.63,0.71,12.29,5.26,122.18,19.32,0.05,0.90
Lumax Auto Tech.,532796,LUMAXTECH,Auto Components,1176.55,8004.35,3636.67,464.76,12.78,12.78,45.03,8.58,1.79,7.85,0.97,20.62,626.58,51.03,0.67
M B Agro Prod.,,MBAPL,Fertilizers & Agrochemicals,437.50,3833.68,1059.17,145.45,13.73,13.73,66.70,9.49,2.14,6.57,0.79,15.23,391.72,11.25,1.02
M.V.K. Agro,,MVKAGRO,Agricultural Food & other Products,148.40,229.87,149.73,18.00,12.02,12.02,24.64,2.56,,3.37,1.18,10.95,102.19,6.07,0.00
MAS FINANC SER,540749,MASFIN,Finance,308.95,5632.43,1595.97,1185.23,74.26,74.26,18.15,2.15,1.42,2.89,3.51,14.14,927.58,4.18,0.99
Meghna Infracon,538668,,Realty,1120.40,1216.97,39.88,11.34,28.44,28.44,131.71,55.42,,34.74,0.15,52.56,11.51,0.35,3.82
Navin Fluo.Intl.,532504,NAVINFLUOR,Chemicals & Petrochemicals,4684.50,23219.56,2349.38,533.72,22.72,22.72,80.46,8.85,-12.21,6.27,0.56,11.52,1073.94,43.73,2.37
NESCO,505355,NESCO,Commercial Services & Supplies,1119.80,7896.62,732.01,437.76,59.80,59.80,21.05,3.00,2.12,13.24,0.00,15.23,219.87,113.66,1.42
Osiajee Texfab,540198,,Textiles & Apparels,249.95,134.98,7.09,5.01,70.66,70.66,27.00,9.02,,28.96,0.13,40.11,5.00,0.03,3.49
Oswal Pumps,544418,OSWALPUMPS,Industrial Products,677.20,7723.24,758.57,152.64,20.12,20.12,77.63,,,26.06,0.44,77.02,159.75,0.14,2.70
Pramara Promotio,,PRAMARA,Media,179.75,162.41,86.42,12.49,14.45,14.45,27.53,2.61,0.97,6.65,0.55,12.39,87.73,1.17,3.36
Prostarm Info,544410,PROSTARM,Electrical Equipment,135.39,798.06,345.89,47.29,13.67,13.67,26.16,,0.71,13.73,0.57,29.99,132.04,1.90,3.94
Purple United,,PURPLEUTED,Textiles & Apparels,332.50,319.53,103.13,20.70,20.07,20.07,30.52,5.28,,11.62,0.68,26.89,91.92,0.03,2.93
R M Drip & Sprin,,RMDRIP,Industrial Products,554.00,1383.89,130.34,35.71,27.40,27.40,57.83,17.31,1.08,21.79,0.32,39.70,85.14,0.66,3.02
Rainbow Foundat.,531694,,Realty,77.22,383.15,156.13,39.51,25.31,25.31,47.83,4.78,1.32,1.18,3.31,10.51,338.23,0.95,0.01
Ratnabhumi Dev.,540796,,Realty,243.70,333.86,214.20,21.57,10.07,10.07,58.47,8.17,0.79,2.09,2.91,15.02,135.82,1.34,0.00
Reliance Infra.,500390,RELINFRA,Power,417.40,16559.07,23591.88,3756.45,15.92,15.92,3.81,1.15,0.10,12.93,0.44,37.51,-18000.06,7932.88,1.56
RRPSemiconductor,504346,,Finance,1945.00,2649.87,31.59,11.33,35.87,35.87,313.22,156.80,1.74,43.08,0.71,196.29,28.94,0.36,0.00
Shraddha Prime,531771,,Realty,169.45,684.59,155.58,30.54,19.63,19.63,27.78,8.69,,8.31,2.40,36.90,262.81,4.79,1.45
Siddhika Coatins,,SIDDHIKA,Consumer Durables,212.10,131.06,48.01,9.57,19.93,19.93,17.04,3.62,0.75,18.24,0.00,23.51,6.62,1.33,0.89
Sirca Paints,543686,SIRCA,Consumer Durables,381.35,2092.32,374.00,67.44,18.03,18.03,42.61,5.98,2.89,12.25,0.00,14.92,220.26,5.16,3.06
Sobhagya Mercant,512014,,Commercial Services & Supplies,488.50,410.34,160.40,25.53,15.92,15.92,26.42,5.13,1.23,11.97,0.08,24.43,81.87,0.00,0.00
Sodhani Academy,544257,,Other Consumer Services,285.00,162.31,3.55,1.96,55.21,55.21,42.16,11.65,,37.02,0.00,37.58,0.95,2.99,3.01
Solarium Green,544354,,Construction,470.40,980.77,230.08,25.90,11.26,11.26,52.76,6.93,,11.93,0.48,22.98,198.62,1.01,2.00
Som Distilleries,507514,SDBL,Beverages,168.99,3302.17,1442.90,176.21,12.21,12.21,34.42,4.41,0.76,8.32,0.23,14.65,341.25,4.50,2.15
South Ind.Bank,532218,SOUTHBANK,Banks,29.88,7820.10,9413.31,5871.13,62.37,62.37,6.00,0.77,0.09,1.08,11.07,13.77,0.00,1813.43,4.23
SRM Contractors,544158,SRM,Construction,494.05,1131.94,526.59,81.25,15.43,15.43,22.57,4.26,0.33,16.04,0.15,25.63,228.90,6.67,2.72
Steel Str. Wheel,513262,SSWL,Auto Components,272.97,4281.34,4429.00,486.81,10.99,10.99,20.39,2.77,0.37,6.35,0.54,14.53,592.99,13.44,2.16
Strides Pharma,532531,STAR,Pharmaceuticals & Biotechnology,887.35,8168.87,4565.34,802.81,17.58,17.58,23.03,3.21,0.67,5.99,0.74,15.16,1764.32,3313.33,2.21
TD Power Systems,533553,TDPOWERSYS,Electrical Equipment,540.15,8434.63,1278.76,230.76,18.05,18.05,48.31,9.81,0.87,14.54,0.01,22.30,632.67,23.65,1.08
Tejas Cargo,,TEJASCARGO,Transport Services,190.00,453.96,501.15,96.73,19.30,19.30,23.74,2.62,,6.42,0.92,16.72,138.92,6.94,4.04
Valiant Commun.,526775,,Telecom -  Equipment & Accessories,714.55,545.06,50.85,13.78,27.10,27.10,56.72,8.86,0.51,14.75,0.03,16.95,51.90,1.81,4.73
