Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
Banco Products,500039,BANCOINDIA,Auto Components,675.00,9667.28,3212.52,611.16,19.02,19.02,24.67,7.41,0.62,16.23,0.44,33.28,1429.63,43.02,2.17
Bemco Hydraulics,522650,,Industrial Manufacturing,2814.40,615.43,100.12,20.31,20.29,20.29,49.08,8.78,0.31,9.78,0.27,20.04,33.74,1.00,0.00
Bio Green Papers,534535,,"Paper, Forest & Jute Products",229.65,2673.87,407.36,41.24,10.12,10.12,75.85,27.55,0.62,25.16,0.00,25.97,22.08,0.86,0.00
CARE Ratings,534804,CARERATING,Capital Markets,1921.25,5759.39,402.32,155.35,38.61,38.61,41.96,7.13,3.90,15.56,0.03,18.02,597.59,50.75,2.22
CCL Products,519600,CCL,Agricultural Food & other Products,883.85,11802.53,3105.75,555.09,17.87,17.87,38.03,6.00,2.85,7.98,0.92,17.05,1707.71,8.45,3.43
Choice Intl.,531358,CHOICEIN,Finance,735.00,14674.68,910.38,284.59,31.26,31.26,93.75,14.28,1.42,7.36,0.45,18.87,856.03,11.29,0.47
CLN Energy,544347,,Auto Components,557.00,587.82,219.18,23.91,10.91,10.91,45.50,6.22,,8.26,0.17,23.95,81.29,1.21,4.79
CSB Bank,542867,CSBBANK,Banks,412.70,7152.50,3597.14,1948.44,54.17,54.17,12.05,1.59,0.11,1.42,9.43,14.31,0.00,972.06,1.74
Cupid,530843,CUPID,Personal Products,108.65,2922.51,203.18,61.43,30.23,30.23,71.40,8.53,115.16,11.83,0.06,12.72,274.46,0.00,4.32
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals & Petrochemicals,1710.20,21596.07,10274.42,1924.72,18.73,18.73,23.13,3.46,0.24,7.58,0.67,16.03,1887.85,80.82,3.85
Ellen.Indl.Gas,544421,ELLEN,Chemicals & Petrochemicals,562.30,7920.69,312.48,109.83,35.15,35.15,98.74,14.92,-48.17,10.57,0.50,17.76,73.22,35.95,4.18
Exhicon Events,543895,,Other Consumer Services,461.05,597.63,143.51,35.12,24.47,24.47,22.99,5.33,,24.62,0.00,26.63,65.77,2.99,0.00
Fabtech Techn.,544332,,Industrial Manufacturing,386.10,475.65,150.03,16.04,10.69,10.69,35.76,5.04,1.32,12.51,0.01,18.21,81.83,0.87,2.25
Fiem Industries,532768,FIEMIND,Auto Components,1970.95,5181.25,2422.61,322.19,13.30,13.30,25.63,4.99,1.17,15.30,0.02,21.00,492.25,19.87,1.45
Foce India,,FOCE,Consumer Durables,1951.00,954.61,104.25,18.35,17.60,17.60,66.29,12.11,,11.08,0.38,20.11,36.19,0.39,0.61
GHV Infra,505504,,Construction,1043.00,1503.49,184.88,24.93,13.48,13.48,87.67,35.31,,15.49,0.73,82.12,15.11,0.00,0.00
Grand Continent,,GCHOTELS,Leisure Services,166.95,416.03,72.62,19.18,26.41,26.41,39.10,3.90,,10.02,0.10,15.56,41.13,0.62,3.72
GSM Foils,,GSMFOILS,Industrial Products,161.25,206.59,133.80,15.20,11.36,11.36,21.41,6.61,,23.72,0.57,45.66,43.74,0.02,3.36
Hoac Foods,,HOACFOODS,Food Products,266.95,102.60,26.48,4.11,15.52,15.52,41.04,9.01,,17.72,0.39,33.90,11.97,0.16,0.00
HVAX Technolog.,,HVAX,Construction,1009.95,280.45,131.03,18.58,14.18,14.18,25.40,3.89,0.60,11.92,0.39,21.52,92.40,0.39,1.88
Iconik Sports,511260,,Finance,44.90,151.95,12.71,3.48,27.38,27.38,58.44,2.39,0.29,9.49,0.00,15.03,6.37,0.00,0.00
India Glycols,500201,INDIAGLYCO,Beverages,2111.40,6528.58,3768.26,510.94,13.56,13.56,28.27,2.90,2.33,3.92,0.84,10.72,279.64,60.95,1.30
Indogulf Cropsci,544432,IGCL,,108.40,682.57,552.73,59.53,10.77,10.77,21.72,,,5.96,0.67,14.41,311.60,-1.65,4.07
Indosolar,533257,WAAREEINDO,Electrical Equipment,232.23,966.16,323.91,95.05,29.34,29.34,17.64,23.91,0.33,28.03,1.24,420.74,-14.88,0.84,0.00
Jeena Sikho,,JSLL,Pharmaceuticals & Biotechnology,525.35,6530.14,469.07,124.88,26.62,26.62,71.97,23.92,0.98,33.06,0.04,39.00,110.19,6.41,1.43
Jenburkt Pharma,524731,,Pharmaceuticals & Biotechnology,1377.75,608.04,151.69,40.39,26.63,26.63,19.32,3.54,1.19,17.51,0.02,19.87,40.11,6.72,2.01
Karur Vysya Bank,590003,KARURVYSYA,Banks,271.60,21816.26,9678.04,6179.30,63.85,63.85,11.23,1.83,0.22,1.73,8.66,17.68,0.00,1829.55,2.14
Kolte Patil Dev.,532924,KOLTEPATIL,Realty,481.40,3658.85,1717.38,175.88,10.24,10.24,34.34,4.41,4.26,2.13,1.37,13.63,1233.68,51.47,3.29
Kovai Medical,523323,KOVAI,Healthcare Services,6130.35,6706.60,1371.12,385.72,28.13,28.13,32.10,6.18,1.88,12.90,0.38,21.16,97.12,22.10,4.21
Kwality Pharma,539997,,Pharmaceuticals & Biotechnology,1176.95,1221.23,370.20,80.39,21.72,21.72,30.68,4.62,0.82,9.46,0.43,16.31,211.60,1.92,1.34
L T Foods,532783,LTFOODS,Agricultural Food & other Products,487.35,16916.60,8681.47,978.27,11.27,11.27,27.95,4.39,1.06,9.09,0.33,16.76,3330.46,117.09,4.25
Laxmi Goldorna,,LGHL,Consumer Durables,754.95,1575.73,87.82,22.45,25.56,25.56,149.93,24.23,,7.28,1.57,19.03,146.35,0.27,1.76
Laxmipati Engg,537669,,Industrial Manufacturing,331.95,190.88,50.07,10.07,20.11,20.11,29.37,22.28,0.95,12.29,5.26,122.18,19.32,0.05,0.00
Loyal Equipments,539227,,Industrial Manufacturing,356.50,384.67,75.30,16.39,21.77,21.77,36.09,7.56,1.21,16.48,0.19,26.50,41.84,0.42,0.00
Lumax Auto Tech.,532796,LUMAXTECH,Auto Components,1153.50,7851.99,3636.67,464.76,12.78,12.78,44.17,8.41,1.76,7.85,0.97,20.62,626.58,51.03,4.59
M B Agro Prod.,,MBAPL,Fertilizers & Agrochemicals,422.65,3703.55,1059.17,145.45,13.73,13.73,64.43,9.17,2.07,6.57,0.79,15.23,391.72,11.25,4.38
M.V.K. Agro,,MVKAGRO,Agricultural Food & other Products,166.95,258.60,149.73,18.00,12.02,12.02,27.72,2.88,,3.37,1.18,10.95,102.19,6.07,0.00
Magna Electrocas,517449,,Industrial Products,1285.60,544.08,176.45,34.21,19.39,19.39,23.53,4.21,0.83,14.86,0.09,19.45,48.01,1.73,2.38
Manorama Indust.,541974,MANORAMA,Food Products,1467.85,8763.57,770.84,191.05,24.78,24.78,78.21,18.94,2.09,13.02,1.04,28.05,756.72,18.56,3.43
MAS FINANC SER,540749,MASFIN,Finance,310.25,5638.77,1595.97,1185.23,74.26,74.26,18.17,2.16,1.42,2.89,3.51,14.14,927.58,4.18,1.27
Moving Media,,MMEL,,78.15,146.97,37.06,28.63,77.25,77.25,14.13,,,16.34,1.05,40.74,23.38,0.00,0.13
Navin Fluo.Intl.,532504,NAVINFLUOR,Chemicals & Petrochemicals,4937.95,24496.16,2349.38,533.72,22.72,22.72,84.88,9.33,-12.88,6.27,0.56,11.52,1073.94,43.73,1.16
Neetu Yoshi,544434,,,110.25,427.91,47.33,17.12,36.17,36.17,34.04,,,47.35,0.88,99.33,13.60,0.12,0.00
NESCO,505355,NESCO,Commercial Services & Supplies,1196.05,8442.16,732.01,437.76,59.80,59.80,22.50,3.20,2.27,13.24,0.00,15.23,219.87,113.66,2.31
OBSC Perfection,,OBSCP,Auto Components,306.05,748.37,142.79,25.39,17.78,17.78,44.65,7.20,,13.68,0.26,25.00,58.13,2.41,1.31
OCCL,544278,OCCLLTD,Chemicals & Petrochemicals,133.15,664.30,306.73,52.94,17.26,17.26,31.02,1.68,,8.02,0.11,10.81,104.12,2.07,0.00
Osiajee Texfab,540198,,Textiles & Apparels,277.00,149.58,7.09,5.01,70.66,70.66,29.92,9.99,,28.96,0.13,40.11,5.00,0.03,0.72
Oswal Pumps,544418,OSWALPUMPS,Industrial Products,693.75,7911.22,758.57,152.64,20.12,20.12,79.52,,,26.06,0.44,77.02,159.75,0.14,3.38
Paras Defence,543367,PARAS,Aerospace & Defense,933.50,7524.15,364.66,97.21,26.66,26.66,122.37,11.76,4.79,8.24,0.04,11.34,430.18,7.95,4.01
Patil Automation,,PATILAUTOM,,204.25,445.69,118.05,15.49,13.12,13.12,39.94,,,10.78,0.43,26.02,52.00,3.99,2.27
Pradeep Metals,513532,,Auto Components,318.50,550.05,311.86,47.14,15.12,15.12,20.24,4.01,0.92,10.71,0.52,21.64,103.53,5.20,1.09
Pramara Promotio,,PRAMARA,Media,188.15,169.99,86.42,12.49,14.45,14.45,28.81,2.73,1.02,6.65,0.55,12.39,87.73,1.17,1.85
Privi Speci.,530117,PRIVISCL,Chemicals & Petrochemicals,2468.55,9622.78,2101.19,453.51,21.58,21.58,52.09,8.75,5.37,7.20,1.04,18.22,882.16,20.65,4.50
Pro FX,,PROFX,,104.70,183.26,129.38,17.40,13.45,13.45,14.97,,0.23,21.75,0.06,39.72,37.48,0.68,0.00
Prostarm Info,544410,PROSTARM,Electrical Equipment,152.35,897.51,345.89,47.29,13.67,13.67,29.41,,0.80,13.73,0.57,29.99,132.04,1.90,4.06
Purple United,,PURPLEUTED,Textiles & Apparels,357.00,343.07,103.13,20.70,20.07,20.07,32.77,5.67,,11.62,0.68,26.89,91.92,0.03,0.00
Quality Power El,544367,QPOWER,Electrical Equipment,722.00,5589.57,336.65,65.34,19.41,19.41,83.26,13.17,,17.33,0.02,23.24,365.65,54.07,3.60
Rainbow Foundat.,531694,,Realty,97.62,484.37,156.13,39.51,25.31,25.31,60.47,6.04,1.66,1.18,3.31,10.51,338.23,0.95,0.00
Resonance Speci.,524218,,Chemicals & Petrochemicals,120.00,138.48,77.81,10.60,13.62,13.62,19.40,2.16,13.29,9.56,0.05,11.75,45.55,0.19,3.61
RRPSemiconductor,504346,,Finance,2190.25,2984.00,31.59,11.33,35.87,35.87,352.72,176.57,1.96,43.08,0.71,196.29,28.94,0.36,0.00
Ruchira Papers,532785,RUCHIRA,"Paper, Forest & Jute Products",146.50,437.08,659.23,107.11,16.25,16.25,6.50,0.94,0.33,11.68,0.18,15.29,168.42,4.48,4.17
Safe Enterprises,,SAFEENTP,,182.75,851.70,138.31,49.44,35.75,35.75,21.73,,,50.13,0.00,77.55,39.53,1.42,0.00
Sharda Cropchem,538666,SHARDACROP,Fertilizers & Agrochemicals,918.55,8294.69,4319.85,595.58,13.79,13.79,27.25,3.31,3.15,6.96,0.00,12.85,1608.42,59.53,0.80
Shraddha Prime,531771,,Realty,186.20,752.27,155.58,30.54,19.63,19.63,30.53,9.54,,8.31,2.40,36.90,262.81,4.79,2.49
Shri Hare-Krish.,,SHKSIL,,69.15,132.71,80.47,10.86,13.50,13.50,14.42,,,10.89,0.15,13.34,50.04,3.13,0.58
Shri Techtex,,SHRITECH,Industrial Products,91.50,228.29,82.67,20.94,25.33,25.33,15.56,2.32,0.58,13.63,0.11,16.08,51.52,4.10,4.19
Shriram Pistons,544344,SHRIPISTON,Auto Components,2560.00,11240.40,3549.83,724.29,20.40,20.40,22.19,4.71,0.46,15.02,0.21,23.46,1669.37,111.40,1.92
Simplex Castings,513472,,Industrial Products,392.30,282.38,171.88,31.08,18.08,18.08,18.66,4.98,0.90,9.19,1.36,33.69,81.19,1.34,0.00
Sirca Paints,543686,SIRCA,Consumer Durables,383.70,2106.40,374.00,67.44,18.03,18.03,42.90,6.02,2.91,12.25,0.00,14.92,220.26,5.16,2.47
Sobhagya Mercant,512014,,Commercial Services & Supplies,568.65,477.67,160.40,25.53,15.92,15.92,30.76,5.98,1.44,11.97,0.08,24.43,81.87,0.00,0.22
Sodhani Academy,544257,,Other Consumer Services,280.00,159.46,3.55,1.96,55.21,55.21,41.42,11.45,,37.02,0.00,37.58,0.95,2.99,4.71
South Ind.Bank,532218,SOUTHBANK,Banks,30.66,8019.08,9413.31,5871.13,62.37,62.37,6.16,0.79,0.09,1.08,11.07,13.77,0.00,1813.43,4.99
SRM Contractors,544158,SRM,Construction,485.60,1114.51,526.59,81.25,15.43,15.43,22.22,4.18,0.32,16.04,0.15,25.63,228.90,6.67,4.66
Steelcast,513517,STEELCAS,Industrial Products,1214.35,2452.99,376.17,106.07,28.20,28.20,33.98,7.54,0.61,20.25,0.00,24.25,156.18,4.45,2.41
Strides Pharma,532531,STAR,Pharmaceuticals & Biotechnology,886.20,8169.31,4565.34,802.81,17.58,17.58,23.03,3.20,0.67,5.99,0.74,15.16,1764.32,3313.33,3.04
Sudarshan Chem.,506655,SUDARSCHEM,Chemicals & Petrochemicals,1250.30,9819.19,2760.39,373.13,13.52,12.54,68.86,7.15,9.97,4.72,0.46,11.30,746.47,-26.04,4.92
Tejas Cargo,,TEJASCARGO,Transport Services,213.75,510.71,501.15,96.73,19.30,19.30,26.71,2.95,,6.42,0.92,16.72,138.92,6.94,1.00
Transrail Light,544317,TRANSRAILL,Electrical Equipment,737.05,9902.90,5307.75,673.36,12.69,12.69,30.32,5.26,1.14,6.02,0.35,21.63,1929.24,47.99,1.33
Transteel Seatin,,TRANSTEEL,Consumer Durables,131.50,265.34,88.65,22.04,24.86,24.86,20.94,2.65,,8.32,0.38,14.23,87.11,0.28,4.68
Valiant Commun.,526775,,Telecom -  Equipment & Accessories,886.85,676.50,50.85,13.78,27.10,27.10,70.40,10.99,0.63,14.75,0.03,16.95,51.90,1.81,0.41
Vintage Coffee,538920,VINCOFE,Commercial Services & Supplies,141.80,1806.04,308.52,52.98,17.17,17.17,44.98,5.88,,11.52,0.27,17.11,197.17,4.00,1.05
VRL Logistics,539118,VRLLOG,Transport Services,600.85,5252.46,3160.95,572.96,18.13,18.13,28.71,4.85,1.99,7.62,1.13,18.02,114.62,25.46,4.78
VTM,532893,,Textiles & Apparels,116.95,1176.16,344.53,66.91,19.42,19.42,27.01,3.84,0.79,12.79,0.13,15.29,175.29,4.83,0.13
