Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Avishkar Infra,508929,,Realty,186.70,418.27,2.40,1.87,77.92,77.92,123.75,28.99,1.35,21.07,0.15,150.22,13.49,2.20,2.47,0.04,5.08,0.74,0.00,0.00,0.69,0.00
Belrise Industri,544405,BELRISE,Auto Components,141.09,12555.31,8290.82,1021.14,12.32,12.32,35.32,,3.35,5.36,1.10,14.11,929.45,61.63,1591.13,1065.71,769.73,4.90,,,3.94,1.44
Bosch,500530,BOSCHLTD,Auto Components,40390.00,119124.81,18087.40,2309.70,12.77,12.77,59.20,8.62,3.23,10.70,0.01,15.55,4385.10,815.60,2365.00,2958.20,1942.30,2.31,-0.02,0.09,0.04,0.83
CCL Products,519600,CCL,Agricultural Food & other Products,894.10,11938.73,3105.75,555.09,17.87,17.87,38.47,6.07,2.57,7.98,0.92,17.05,450.92,8.45,690.28,221.15,1052.26,3.41,0.31,0.44,3.90,2.31
Coromandel Inter,506395,COROMANDEL,Fertilizers & Agrochemicals,2590.40,76374.82,26398.71,2866.62,10.86,10.70,38.72,6.88,9.90,9.90,0.07,16.77,5378.82,735.13,1229.09,6030.01,4769.91,3.95,-3.11,3.67,0.27,4.76
CSB Bank,542867,CSBBANK,Banks,419.10,7270.79,3597.14,1948.44,54.17,54.17,12.24,1.62,1.36,1.42,9.43,14.31,0.00,972.06,0.00,0.00,0.00,6.28,-2.26,2.30,14.52,3.44
Cupid,530843,CUPID,Personal Products,158.21,4247.42,203.18,61.43,30.23,30.23,103.77,12.41,2.93,11.83,0.06,12.72,260.49,0.00,67.03,1.25,41.67,1.36,0.00,-0.68,0.33,2.88
Datamatics Glob.,532528,DATAMATICS,IT - Services,1004.45,5944.03,1723.36,229.26,13.30,13.30,33.18,4.36,4.42,10.21,0.14,13.82,601.14,78.01,301.82,138.44,0.00,3.85,-0.08,-0.12,0.83,3.96
Desco Infra.,544387,,Construction,255.75,196.31,59.45,13.34,22.44,22.44,21.67,,0.18,17.04,0.19,25.56,58.84,0.16,13.35,6.28,2.80,7.52,,,0.86,4.57
Dharni Capital,543753,,Capital Markets,55.05,112.14,6.52,2.60,39.88,39.88,29.13,5.30,,17.92,0.10,20.02,3.12,2.61,0.26,0.00,0.00,4.43,0.00,0.00,0.41,4.43
eClerx Services,532927,ECLERX,Commercial Services & Supplies,3799.20,18625.71,3518.51,862.25,24.51,24.01,32.66,8.08,3.47,17.85,0.16,23.77,1567.66,79.73,495.42,78.57,0.23,4.36,0.92,0.04,0.45,3.65
Fabtech Techn.,544332,,Industrial Manufacturing,449.00,553.14,150.03,16.04,10.69,10.69,41.59,5.86,0.76,12.51,0.01,18.21,80.84,0.87,53.04,21.02,19.05,2.99,,,0.06,4.47
