Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Shriram Finance,511218,SHRIRAMFIN,INE721A01047,Finance,Non Banking Financial Company (NBFC),1005.50,65.26,189183.66,45601.30,33103.56,72.59,72.05,21.60,3.12,0.49,3.04,3.87,15.57,12046.73,1594.94,26.68,333.98,0.00,7.85,2.64,-2.40,7.22,1.96
Sobhagya Mercant,512014,,INE754D01018,Commercial Services & Supplies,Diversified Commercial Services,891.60,55.74,748.94,208.45,32.36,15.52,14.25,34.75,8.29,2.82,11.97,0.07,24.43,85.68,0.00,131.84,89.82,2.60,4.23,0.00,0.00,0.21,3.15
South Ind.Bank,532218,SOUTHBANK,INE683A01023,Banks,Private Sector Bank,45.96,68.44,12028.44,9660.46,5942.45,61.51,63.45,8.65,1.09,0.04,1.08,11.30,13.78,9596.78,2195.92,0.00,0.00,0.00,6.16,1.87,3.03,15.29,1.90
Stellant Secu.,526071,,INE395F01023,Finance,Other Financial Services,682.10,87.54,252.54,43.85,41.64,94.96,89.36,8.09,7.62,0.03,79.38,0.00,81.90,39.88,0.11,1.49,0.00,9.07,19.14,0.00,0.00,0.00,0.25
T N Merc. Bank,543596,TMB,INE668A01016,Banks,Private Sector Bank,566.65,63.76,8972.99,5472.33,3956.31,72.30,71.83,7.39,0.95,0.57,1.85,6.00,13.97,2744.20,828.60,0.00,0.00,0.00,7.61,0.06,0.30,11.85,1.60
Tata Capital,544574,TATACAP,INE976I01016,Finance,Non Banking Financial Company (NBFC),358.20,62.07,152051.21,30855.50,22350.94,72.44,71.64,34.34,4.19,1.12,1.72,5.88,12.92,1922.56,33.85,130.76,1624.34,0.00,6.06,,,9.73,2.57
Tech Mahindra,532755,TECHM,INE669C01036,IT - Software,Computers - Software & Consulting,1687.40,63.02,165318.18,55123.30,8304.90,15.07,13.14,34.38,6.01,-3.19,9.04,0.07,14.62,11331.10,138.30,6664.10,4395.70,96.10,4.20,3.15,-2.66,0.29,2.83
Torrent Pharma.,500420,TORNTPHARM,INE685A01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,4020.50,60.12,136071.99,12248.00,3993.00,32.60,32.31,62.81,16.11,2.97,13.26,0.33,26.52,1757.00,-86.00,2185.00,1675.00,2467.00,2.27,-0.12,0.21,0.90,2.53
Ujjivan Small,542904,UJJIVANSFB,INE551W01018,Banks,Other Bank,61.96,67.83,12013.79,6626.43,2549.05,38.47,46.40,24.32,1.93,0.44,1.65,6.77,12.42,2594.80,1070.51,0.00,0.00,0.00,6.99,8.54,-1.60,11.65,1.01
Union Bank (I),532477,UNIONBANK,INE692A01016,Banks,Public Sector Bank,174.78,66.14,133420.16,108368.24,72801.23,67.18,67.96,7.05,1.02,0.14,1.24,9.95,17.05,87242.09,21825.52,0.00,0.00,0.00,6.79,0.21,0.28,13.78,4.47
Vedanta,500295,VEDL,INE205A01025,Diversified Metals,Diversified Metals,678.65,76.93,265378.49,157262.00,43884.00,27.91,27.68,20.79,6.61,-2.02,9.77,2.12,38.48,-21699.00,956.00,3714.00,11857.00,17237.00,10.48,-0.94,1.07,2.39,2.21
