Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Sobhagya Mercant,512014,,Commercial Services & Supplies,Diversified Commercial Services,918.85,771.83,208.45,32.36,15.52,14.25,35.82,8.54,2.91,11.97,0.07,24.43,85.68,0.00,131.84,89.82,2.60,4.11,0.00,0.00,0.21,0.19
South Ind.Bank,532218,SOUTHBANK,Banks,Private Sector Bank,39.78,10410.62,9513.67,5842.67,61.41,63.45,7.67,0.98,0.04,1.08,11.50,13.78,11002.83,2119.21,0.00,0.00,0.00,6.23,0.82,0.33,15.36,4.49
Stellant Secu.,526071,,Finance,Other Financial Services,368.20,136.32,43.85,41.64,94.96,89.36,4.37,4.11,0.02,79.38,0.00,81.90,39.88,0.11,1.49,0.00,9.07,40.95,-0.19,0.00,0.00,0.00
Swaraj Suiting,,SWARAJ,Textiles & Apparels,Other Textile Products,272.10,599.01,459.23,100.63,21.91,17.58,14.48,3.49,0.15,7.21,1.94,25.65,71.75,0.80,94.17,113.64,218.53,9.10,-0.10,-0.01,3.93,1.05
Systango Tech,,SYSTANGO,IT - Software,Computers - Software & Consulting,394.00,577.95,83.85,33.64,40.12,34.17,17.88,4.78,0.38,21.29,0.00,23.38,96.42,6.35,15.06,1.28,0.00,7.26,0.29,-0.01,0.00,1.25
T N Merc. Bank,543596,TMB,Banks,Private Sector Bank,511.10,8093.34,5472.33,3956.31,72.30,71.83,6.66,0.86,0.52,1.85,6.00,13.97,2744.20,828.60,0.00,0.00,0.00,7.72,0.01,0.07,11.85,3.02
Tankup Engi.,,TANKUP,Industrial Products,Other Industrial Products,697.95,369.56,35.21,4.24,12.04,12.46,121.57,13.71,0.57,9.51,0.69,29.66,24.09,0.61,20.16,9.33,11.83,1.26,-3.02,-1.51,3.99,0.00
Tata Capital,544574,TATACAP,Finance,Non Banking Financial Company (NBFC),324.55,137767.22,28323.85,20292.20,71.64,71.64,37.44,,1.22,1.72,5.88,12.92,1922.56,46.02,130.76,1624.34,0.00,5.74,,,10.70,3.59
Titan Company,500114,TITAN,Consumer Durables,"Gems, Jewellery And Watches",3897.70,346032.41,67904.00,6916.00,10.18,9.42,83.81,27.03,5.72,9.24,0.97,31.75,9184.00,462.00,1437.00,2544.00,37657.00,1.86,1.40,-1.43,1.88,1.47
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals,3755.80,127107.63,12248.00,3993.00,32.60,32.31,58.67,15.04,2.77,13.26,0.33,26.52,1757.00,-86.00,2185.00,1675.00,2467.00,2.43,0.63,-0.17,0.90,3.26
