Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
Prizor Viztech,,PRIZOR,Industrial Manufacturing,236.25,252.58,70.98,15.21,21.43,21.43,24.88,5.90,,24.93,0.18,41.01,40.12,0.05,0.00
Pro FX,,PROFX,Consumer Durables,130.45,228.34,129.38,17.40,13.45,13.45,18.66,,0.29,21.75,0.06,39.72,37.48,0.68,0.15
Purple United,,PURPLEUTED,Textiles & Apparels,371.05,356.57,103.13,20.70,20.07,20.07,34.06,5.89,,11.62,0.68,26.89,91.92,0.03,2.03
Quality Power El,544367,QPOWER,Electrical Equipment,791.30,6128.15,336.65,65.34,19.41,19.41,91.29,14.44,,17.33,0.02,23.24,365.65,54.07,4.89
Rainbow Foundat.,531694,,Realty,101.47,503.47,156.13,39.51,25.31,25.31,62.86,6.28,1.73,1.18,3.31,10.51,338.23,0.95,0.00
RRPSemiconductor,504346,,Finance,2466.45,3360.29,31.59,11.33,35.87,35.87,397.20,198.83,2.21,43.08,0.71,196.29,28.94,0.36,0.00
Safe Enterprises,,SAFEENTP,Consumer Durables,212.55,990.58,138.31,49.44,35.75,35.75,25.28,,,50.13,0.00,77.55,39.53,1.42,2.48
Sai Life,544306,SAILIFE,Pharmaceuticals & Biotechnology,823.10,17182.49,1642.05,390.44,23.78,23.78,99.06,7.91,5.93,6.45,0.13,10.92,946.96,37.34,2.05
SBFC Finance,543959,SBFC,Finance,117.38,12780.58,1305.12,895.65,68.63,68.63,36.99,4.00,0.64,4.41,1.65,11.58,315.95,0.46,2.59
Schloss Bangal.,544408,THELEELA,Leisure Services,436.15,14565.57,1300.57,594.97,45.75,45.75,304.27,,,0.62,1.16,13.09,344.45,105.98,1.61
Schneider Elect.,534139,SCHNEIDER,Electrical Equipment,842.80,20151.35,2636.71,382.77,14.52,14.52,79.18,35.86,1.34,14.48,0.93,65.80,570.50,42.22,4.72
Shri Hare-Krish.,,SHKSIL,Ferrous Metals,82.00,157.37,80.47,10.86,13.50,13.50,17.11,,,10.89,0.15,13.34,50.04,3.13,2.38
Shri Techtex,,SHRITECH,Industrial Products,91.85,229.17,82.67,20.94,25.33,25.33,15.62,2.33,0.58,13.63,0.11,16.08,51.52,4.10,3.82
Sirca Paints,543686,SIRCA,Consumer Durables,418.30,2292.65,374.00,67.44,18.03,18.03,46.69,6.56,3.17,12.25,0.00,14.92,220.26,5.16,2.72
SKM Egg Prod.,532143,SKMEGGPROD,Food Products,305.10,803.33,497.83,57.43,11.54,11.54,23.22,2.65,0.47,7.19,0.49,11.93,268.11,14.04,0.00
Sobhagya Mercant,512014,,Commercial Services & Supplies,568.75,477.75,160.40,25.53,15.92,15.92,30.76,5.98,1.44,11.97,0.08,24.43,81.87,0.00,0.20
Strides Pharma,532531,STAR,Pharmaceuticals & Biotechnology,910.00,8386.81,4565.34,802.81,17.58,17.58,23.65,3.29,0.69,5.99,0.74,15.16,1764.32,3313.33,1.61
String Metaverse,534535,,IT - Services,278.50,3242.64,407.36,41.24,10.12,10.12,91.99,33.41,0.75,25.16,0.00,25.97,22.08,0.86,0.20
Tanfac Inds.,506854,,Chemicals & Petrochemicals,4594.75,4583.26,556.98,128.86,23.14,23.14,51.99,14.69,1.33,24.24,0.13,32.50,180.16,2.96,2.45
Tankup Engi.,,TANKUP,,364.75,193.14,20.30,2.50,12.32,12.32,127.07,,,9.53,1.42,29.40,14.19,0.17,0.00
Tejas Cargo,,TEJASCARGO,Transport Services,234.45,560.17,501.15,96.73,19.30,19.30,29.30,3.23,,6.42,0.92,16.72,138.92,6.94,4.31
Thyrocare Tech.,539871,THYROCARE,Healthcare Services,1161.45,6155.04,687.35,189.61,27.59,27.59,71.63,11.26,-87.35,12.86,0.05,16.01,86.28,14.83,1.38
Transrail Light,544317,TRANSRAILL,Electrical Equipment,751.60,10090.68,5307.75,673.36,12.69,12.69,30.89,5.36,1.16,6.02,0.35,21.63,1929.24,47.99,4.50
Travel Food,544443,TRAVELFOOD,Leisure Services,1074.80,14152.91,1687.74,554.12,32.83,32.83,39.05,,,21.06,0.32,37.62,-127.32,122.22,4.88
Trishakti Indus,531279,,Finance,182.55,298.11,17.02,4.75,27.91,27.91,83.74,11.36,,8.25,1.25,19.16,12.32,1.72,4.62
UTI AMC,543238,UTIAMC,Capital Markets,1407.70,18028.96,1851.09,1101.86,59.52,59.52,24.64,3.92,1.12,14.79,0.00,16.28,246.19,8.56,2.07
Vaidya Sane,,MADHAVBAUG,Healthcare Equipment & Supplies,170.00,178.73,89.85,13.49,15.01,15.01,22.31,2.86,,10.85,0.02,13.56,20.52,0.66,4.47
Valiant Commun.,526775,,Telecom -  Equipment & Accessories,900.15,686.64,50.85,13.78,27.10,27.10,71.45,11.16,0.64,14.75,0.03,16.95,51.90,1.81,1.89
VRL Logistics,539118,VRLLOG,Transport Services,618.20,5407.30,3160.95,572.96,18.13,18.13,29.56,4.99,2.05,7.62,1.13,18.02,114.62,25.46,2.03
