Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Five-Star Bus.Fi,543663,FIVESTAR,INE128S01021,Finance,Non Banking Financial Company (NBFC),399.45,22.28,11770.78,3153.46,2217.59,70.32,74.26,10.62,1.73,0.32,8.22,1.23,18.65,2095.00,26.22,0.00,29.12,0.00,12.32,2.58,-2.85,3.79,53.03
Fluidomat,522017,,INE459C01016,Industrial Manufacturing,Industrial Products,568.75,32.74,280.40,64.17,19.17,29.87,38.69,17.32,3.29,0.28,27.08,0.00,31.44,44.82,3.93,18.07,2.91,4.56,7.95,0.00,0.00,0.00,59.92
Frog Innovations,,FROG,INE385O01018,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,140.15,47.01,217.99,219.39,35.57,16.21,16.21,12.66,1.37,0.74,12.08,0.08,16.07,69.32,2.84,44.16,21.01,35.77,15.13,0.12,-0.09,0.37,57.40
Galaxy Bearings,526073,,INE020S01012,Industrial Products,Abrasives & Bearings,455.95,34.27,144.99,76.64,8.63,11.26,18.52,22.76,1.35,23.46,9.88,0.25,13.63,66.43,4.21,39.33,7.02,23.50,6.46,0.00,-0.05,2.40,58.55
Ganesh Green,,GGBL,INE0R8C01018,Electrical Equipment,Other Electrical Equipment,262.35,40.88,650.66,521.28,74.95,14.38,15.07,13.01,2.73,0.16,12.44,0.15,23.03,162.30,3.58,62.58,84.55,156.12,11.14,-0.48,-0.04,0.49,52.73
Ganesh Infra.,,GANESHIN,INE0TVT01024,Construction,Civil Construction,72.80,27.37,311.01,764.60,90.00,11.77,9.73,4.91,1.47,,21.63,0.35,36.18,188.22,4.59,188.81,66.32,49.46,23.78,-0.10,-0.30,0.82,73.98
Genesys Intl.,506109,GENESYS,INE727B01026,IT - Services,IT Enabled Services,270.35,34.25,1130.00,317.76,125.01,39.34,46.00,26.17,1.65,-7.91,7.94,0.21,10.76,390.92,11.25,209.38,33.94,0.00,6.68,0.50,0.64,1.88,66.16
GK Energy,544525,GKENERGY,INE1AG301022,Construction,Civil Construction,100.50,32.58,2036.96,1466.49,286.59,19.54,18.24,10.98,2.62,0.03,33.40,0.53,100.52,728.75,8.07,707.34,169.96,132.34,14.36,-0.61,-0.66,1.42,58.06
GLEN Industries,544444,,INE0UMC01019,Industrial Products,Packaging,67.63,31.37,162.73,182.08,41.87,23.00,24.24,9.03,1.18,0.13,9.62,0.84,36.35,63.70,0.80,31.97,3.25,64.84,15.22,,,3.33,58.97
Globe Civil,544424,GLOBECIVIL,INE0V3U01015,Construction,Civil Construction,45.19,26.87,270.38,386.46,52.91,13.69,14.33,11.36,1.20,0.18,7.04,0.63,26.20,194.86,2.94,154.46,48.17,140.57,13.86,-0.43,-1.08,2.78,52.43
Go Fashion (I),543401,GOCOLORS,INE0BJS01011,Retailing,Speciality Retail,305.15,25.81,1643.55,846.70,249.88,29.51,31.95,23.11,2.22,0.60,7.65,0.72,14.32,441.59,24.21,126.23,38.20,241.67,7.18,-2.17,-1.09,3.74,67.67
Grand Continent,,GCHOTELS,INE12E301017,Leisure Services,Hotels & Resorts,102.35,26.06,255.05,96.49,13.52,14.01,26.45,37.95,2.34,0.25,9.98,0.24,15.56,22.66,2.07,9.56,6.18,1.56,4.84,0.69,-3.99,1.95,59.86
