Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
BEW Engg,,BEWLTD,,170.00,222.25,134.36,20.40,15.18,15.18,18.27,1.61,0.63,6.31,0.42,11.64,146.30,0.92,40.40,11.26,117.31,7.25,0.00,0.00,2.86,55.14
Bharat Road,540700,BRNL,Construction,21.01,176.38,458.21,240.51,52.49,52.49,1.27,0.51,0.03,6.53,1.31,52.27,135.79,21.80,0.94,3.35,0.00,46.31,0.00,0.01,2.31,61.09
Bodhi Tree,543767,BTML,Entertainment,8.19,147.82,89.10,9.01,10.11,10.11,30.30,4.52,2.05,6.41,0.66,16.27,46.67,0.66,23.35,24.94,24.01,5.54,3.29,-0.19,2.31,58.09
Brand Concepts,543442,BCONCEPTS,Retailing,333.65,374.29,272.69,29.13,10.68,10.68,56.79,5.25,0.54,3.23,1.73,10.33,113.72,0.79,72.67,39.30,62.28,3.81,-0.85,-0.08,6.66,54.85
CapitalNumbers,544343,,IT - Software,135.00,329.77,99.73,29.72,29.80,29.80,12.80,2.10,0.70,21.77,0.00,23.00,145.64,5.96,6.42,1.01,0.00,14.02,,,0.00,50.73
Chemtech Indust.,537326,,Industrial Manufacturing,117.00,209.87,40.04,7.91,19.76,19.76,29.88,2.19,0.21,9.04,0.00,10.74,81.94,2.63,11.32,3.83,2.42,6.65,0.00,0.00,0.00,64.11
Danlaw Tech.,532329,,Industrial Manufacturing,902.15,439.41,218.38,31.82,14.57,14.57,23.23,5.74,0.19,13.10,0.46,28.11,76.05,0.96,49.07,26.00,36.86,6.07,0.00,0.00,1.28,60.06
DCG Cables,,DCG,,75.45,136.94,127.56,16.04,12.57,12.57,16.90,1.73,0.09,7.92,0.44,15.69,73.02,1.12,13.28,0.86,36.48,8.41,0.00,0.00,2.42,50.52
Delaplex,,DELAPLEX,IT - Software,146.00,133.00,55.76,10.87,19.49,19.49,12.87,1.84,0.67,14.82,0.00,15.10,49.21,3.31,26.56,0.20,0.00,10.81,0.00,0.00,0.00,50.42
Delta Auto.,,DELTIC,Automobiles,70.45,107.71,83.19,10.99,13.21,13.21,12.83,1.47,,14.25,0.05,18.49,75.33,0.82,16.61,3.86,18.26,15.18,,,0.34,61.66
