Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Aurionpro Sol.,532668.0,AURIONPRO,INE132H01018,IT - Software,Computers - Software & Consulting,730.9,32.24,4039.1,1411.09,282.35,20.01,20.01,18.53,2.34,0.6,10.29,0.03,13.44,736.02,19.57,376.94,122.76,32.64,6.96,0.36,-0.48,0.22,0.54,56.13
Autoriders Intl.,512277.0,,INE340U01010,Transport Services,Logistics Solution Provider,448.95,57.2,156.29,96.93,27.5,28.37,28.79,16.06,2.9,0.41,10.0,0.34,19.99,3.26,1.28,18.24,4.98,0.0,9.15,0.0,0.0,1.16,0.04,56.45
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,82.1,40.99,205.08,420.75,77.19,18.35,18.35,4.87,1.15,0.09,10.9,1.16,27.67,73.3,4.09,140.61,20.2,99.26,17.8,0.08,0.0,2.76,0.0,62.34
AWFIS Space,544181.0,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,317.65,42.99,2272.47,1423.03,513.97,36.12,33.7,38.77,4.59,0.94,2.44,2.91,26.07,-270.82,93.58,122.33,257.89,0.64,6.61,-0.04,-0.99,5.97,0.0,55.82
Basilic Fly Stud,,BASILIC,INE0OCC01013,Entertainment,Media & Entertainment,210.0,40.78,530.57,417.47,84.91,20.34,21.3,9.77,1.72,0.04,21.82,0.21,24.79,250.68,-2.26,112.05,9.89,0.0,15.85,-0.75,0.11,0.84,0.0,58.81
Bemco Hydraulics,522650.0,,INE142E01022,Industrial Manufacturing,Industrial Products,85.0,43.14,371.74,98.56,21.94,22.26,20.29,25.24,4.96,0.86,9.71,0.21,19.89,20.5,1.27,26.86,16.54,29.84,5.84,0.0,0.0,0.74,0.12,54.84
Bharat Rasayan,590021.0,BHARATRAS,INE838B01021,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,1417.0,43.53,2355.2,1240.35,189.2,15.25,14.95,16.59,2.01,-1.25,8.99,0.08,11.09,894.53,18.46,483.4,120.28,298.62,8.3,-0.38,0.11,0.47,0.03,53.24
Blue Cloud Soft.,539607.0,,INE373T01047,IT - Software,Software Products,18.97,28.55,1428.68,908.0,94.7,10.43,8.84,23.26,9.06,,16.28,0.55,44.47,145.82,1.06,233.49,63.48,0.28,6.32,0.0,0.0,0.98,0.0,50.08
Blue Jet Health,544009.0,BLUEJET,INE0KBH01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,437.65,44.89,7591.73,1053.1,362.8,34.45,36.67,25.89,6.08,1.43,24.16,0.02,30.24,748.98,57.96,311.83,40.65,196.79,5.59,-0.14,-0.25,0.05,0.29,57.44
Brigade Enterpr.,532929.0,BRIGADE,INE791I01019,Realty,"Residential, Commercial Projects",662.4,30.77,16203.91,5697.22,1427.33,25.05,25.05,24.92,2.4,0.71,3.03,0.93,10.44,3133.57,198.36,600.69,881.7,11400.89,6.67,1.19,-1.39,4.78,0.38,50.28
